Date,Open_Slopes,Total_Slopes,Slope_Ratio,Open_Lifts,Total_Lifts,Lift_Ratio,Resort

2025-12-26,27,47,57,20,22,91.0,Hemsedal
2025-12-27,28,47,60,21,22,95.0,Hemsedal
2025-12-28,28,47,60,21,22,95.0,Hemsedal
2025-12-29,28,47,60,21,22,95.0,Hemsedal
2025-12-30,29,47,62,21,22,95.0,Hemsedal
2025-12-31,30,47,64,21,22,95.0,Hemsedal
2026-01-01,30,47,64,21,22,95.0,Hemsedal
2026-01-02,31,47,66,21,22,95.0,Hemsedal
2026-01-03,32,47,68,21,22,95.0,Hemsedal
2026-01-04,32,47,68,21,22,95.0,Hemsedal
2026-01-05,32,47,68,21,22,95.0,Hemsedal
2026-01-06,32,47,68,21,22,95.0,Hemsedal
2026-01-07,32,47,68,21,22,95.0,Hemsedal
2026-01-08,32,47,68,21,22,95.0,Hemsedal
2026-01-09,33,47,70,21,22,95.0,Hemsedal
2026-01-10,37,47,79,22,22,100.0,Hemsedal
2026-01-11,37,47,79,22,22,100.0,Hemsedal
2026-01-12,37,47,79,22,22,100.0,Hemsedal
2026-01-13,37,47,79,22,22,100.0,Hemsedal
2026-01-14,37,47,79,22,22,100.0,Hemsedal
2026-01-15,37,47,79,22,22,100.0,Hemsedal
2026-01-16,41,47,87,22,22,100.0,Hemsedal
2026-01-17,41,47,87,22,22,100.0,Hemsedal
2026-01-18,41,47,87,22,22,100.0,Hemsedal
2026-01-19,41,47,87,22,22,100.0,Hemsedal
2026-01-20,41,47,87,22,22,100.0,Hemsedal
2026-01-21,41,47,87,22,22,100.0,Hemsedal
2026-01-22,41,47,87,22,22,100.0,Hemsedal
2026-01-23,41,47,87,22,22,100.0,Hemsedal
2026-01-24,42,47,89,22,22,100.0,Hemsedal
2026-01-25,42,47,89,22,22,100.0,Hemsedal
2026-01-26,42,47,89,22,22,100.0,Hemsedal
2026-01-27,42,47,89,22,22,100.0,Hemsedal
2026-01-28,43,47,91,22,22,100.0,Hemsedal
2026-01-29,43,47,91,22,22,100.0,Hemsedal
